Вид,Промокод,Операция,Тип,Категория,Дата и время заказа,Месяц,Закупочная стоимость,Скидка в ден. ед.,Скидка в процентах,Сумма,Итоговая сумма
Услуга,,Доход,Безнал,Стрижка и укладка,22.04.2021,4,0,0,,4500,4500
Услуга,,Расход,Безнал,Зарплата,22.04.2021,4,0,0,,82500,82500
Услуга,,Расход,Безнал,Зарплата,22.04.2021,4,0,0,,82500,82500
Услуга,,Расход,Безнал,Зарплата,22.04.2021,4,0,0,,82500,82500
Услуга,,Расход,Безнал,Зарплата,22.04.2021,4,0,0,,82500,82500
Услуга,,Расход,Безнал,Зарплата,22.04.2021,4,0,0,,82500,82500
Услуга,,Расход,Безнал,Зарплата,22.04.2021,4,0,0,,82500,82500
Услуга,,Расход,Безнал,Зарплата,22.04.2021,4,0,0,,82500,82500
Услуга,,Расход,Безнал,Зарплата,22.04.2021,4,0,0,,82500,82500
Услуга,,Доход,Безнал,Обычная стрижка,22.04.2021,4,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа шампуня,22.04.2021,4,250,0,,500,500
Услуга,42gbcz2052640,Доход,Безнал,Стрижка старшего мастера,22.04.2021,4,0,825,"0,15",5500,4675
Услуга,,Доход,Безнал,Стрижка и укладка,22.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,22.04.2021,4,0,0,,4500,4500
Товар,,Доход,Безнал,Продажа шампуня,22.04.2021,4,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,22.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,23.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,23.04.2021,4,0,0,,4500,4500
Товар,,Расход,Безнал,Закупка резинок,23.04.2021,4,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка старшего мастера,23.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,23.04.2021,4,0,0,,5500,5500
Товар,,Расход,Наличные,Закупка полотенец,23.04.2021,4,500,0,,1000,1000
Товар,,Расход,Наличные,Прочие расходы,23.04.2021,4,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка и укладка,23.04.2021,4,0,0,,4500,4500
Услуга,42gbcz3594236,Доход,Наличные,Обычная стрижка,23.04.2021,4,0,525,"0,15",3500,2975
Услуга,42gbcz2600902,Доход,Безнал,Обычная стрижка,23.04.2021,4,0,525,"0,15",3500,2975
Услуга,,Доход,Наличные,Стрижка и укладка,23.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,23.04.2021,4,0,0,,4500,4500
Услуга,42gbcz2371026,Доход,Безнал,Стрижка старшего мастера,23.04.2021,4,0,825,"0,15",5500,4675
Услуга,42gbcz648174,Доход,Безнал,Стрижка старшего мастера,23.04.2021,4,0,825,"0,15",5500,4675
Товар,,Доход,Безнал,Продажа геля,23.04.2021,4,150,0,,300,300
Товар,,Доход,Безнал,Продажа шампуня,23.04.2021,4,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка старшего мастера,23.04.2021,4,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня,23.04.2021,4,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,23.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,23.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,23.04.2021,4,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа шампуня,23.04.2021,4,250,0,,500,500
Товар,,Расход,Безнал,Прочие расходы,23.04.2021,4,150,0,,300,300
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,23.04.2021,4,500,0,,1000,1000
Товар,,Расход,Безнал,Прочие расходы,23.04.2021,4,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка и укладка,23.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,24.04.2021,4,0,0,,5500,5500
Услуга,42gbcz1824018,Доход,Безнал,Стрижка и укладка,24.04.2021,4,0,675,"0,15",4500,3825
Услуга,,Доход,Безнал,Стрижка и укладка,24.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,24.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,24.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,24.04.2021,4,0,0,,5500,5500
Услуга,42gbcz2275761,Доход,Безнал,Стрижка и укладка,24.04.2021,4,0,675,"0,15",4500,3825
Услуга,42gbcz1886457,Доход,Безнал,Стрижка и укладка,24.04.2021,4,0,675,"0,15",4500,3825
Товар,,Доход,Безнал,Продажа шампуня,24.04.2021,4,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,24.04.2021,4,0,0,,3500,3500
Услуга,42gbcz2671723,Доход,Безнал,Стрижка старшего мастера,24.04.2021,4,0,550,"0,1",5500,4950
Товар,,Доход,Безнал,Продажа шампуня,24.04.2021,4,250,0,,500,500
Услуга,42gbcz1938051,Доход,Безнал,Стрижка старшего мастера,24.04.2021,4,0,550,"0,1",5500,4950
Услуга,42gbcz3189003,Доход,Безнал,Обычная стрижка,24.04.2021,4,0,350,"0,1",3500,3150
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,24.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Обычная стрижка,24.04.2021,4,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка полотенец,24.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Обычная стрижка,24.04.2021,4,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка резинок,24.04.2021,4,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка старшего мастера,24.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Наличные,Обычная стрижка,24.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Наличные,Стрижка старшего мастера,24.04.2021,4,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня,24.04.2021,4,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,24.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,24.04.2021,4,0,0,,3500,3500
Товар,42gbcz448440,Доход,Безнал,Продажа геля,24.04.2021,4,150,45,"0,15",300,255
Услуга,42gbcz1279299,Доход,Безнал,Стрижка старшего мастера,25.04.2021,4,0,825,"0,15",5500,4675
Услуга,,Доход,Безнал,Обычная стрижка,25.04.2021,4,0,0,,3500,3500
Товар,,Расход,Безнал,Прочие расходы,25.04.2021,4,150,0,,300,300
Услуга,,Доход,Безнал,Обычная стрижка,25.04.2021,4,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,25.04.2021,4,500,0,,1000,1000
Товар,,Расход,Безнал,Закупка резинок,25.04.2021,4,250,,,500,500
Услуга,42gbcz2933929,Доход,Безнал,Стрижка и укладка,25.04.2021,4,0,675,"0,15",4500,3825
Товар,,Расход,Наличные,Прочие расходы,25.04.2021,4,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка и укладка,25.04.2021,4,0,0,,4500,4500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,25.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка и укладка,25.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,25.04.2021,4,0,0,,5500,5500
Услуга,42gbcz1270766,Доход,Безнал,Обычная стрижка,25.04.2021,4,0,525,"0,15",3500,2975
Товар,,Доход,Безнал,Продажа шампуня,25.04.2021,4,250,0,,500,500
Товар,,Расход,Безнал,Закупка полотенец,25.04.2021,4,500,0,,1000,1000
Товар,,Доход,Безнал,Продажа шампуня,25.04.2021,4,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,25.04.2021,4,0,0,,3500,3500
Услуга,42gbcz3099569,Доход,Безнал,Обычная стрижка,25.04.2021,4,0,525,"0,15",3500,2975
Услуга,42gbcz432984,Доход,Безнал,Стрижка и укладка,25.04.2021,4,0,675,"0,15",4500,3825
Товар,,Расход,Безнал,Закупка полотенец,25.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка и укладка,25.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,25.04.2021,4,0,0,,5500,5500
Услуга,42gbcz1651516,Доход,Безнал,Обычная стрижка,25.04.2021,4,0,525,"0,15",3500,2975
Услуга,,Доход,Безнал,Стрижка старшего мастера,25.04.2021,4,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня,25.04.2021,4,250,0,,500,500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,25.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка старшего мастера,26.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,26.04.2021,4,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня,26.04.2021,4,250,0,,500,500
Услуга,42gbcz363404,Доход,Безнал,Стрижка и укладка,26.04.2021,4,0,675,"0,15",4500,3825
Товар,,Доход,Безнал,Продажа шампуня,26.04.2021,4,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка старшего мастера,26.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,26.04.2021,4,0,0,,5500,5500
Товар,,Доход,Наличные,Продажа шампуня и кондиционера,26.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка и укладка,26.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,26.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,26.04.2021,4,0,0,,3500,3500
Товар,,Доход,Наличные,Продажа шампуня и кондиционера,26.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка и укладка,26.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,26.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,26.04.2021,4,0,0,,5500,5500
Услуга,42gbcz2888620,Доход,Безнал,Обычная стрижка,26.04.2021,4,0,525,"0,15",3500,2975
Товар,,Доход,Безнал,Продажа шампуня,26.04.2021,4,250,0,,500,500
Услуга,42gbcz789185,Доход,Безнал,Обычная стрижка,26.04.2021,4,0,525,"0,15",3500,2975
Услуга,42gbcz3051081,Доход,Безнал,Обычная стрижка,26.04.2021,4,0,525,"0,15",3500,2975
Товар,,Расход,Безнал,Прочие расходы,26.04.2021,4,150,0,,300,300
Товар,,Доход,Безнал,Продажа шампуня,26.04.2021,4,250,0,,500,500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,26.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Обычная стрижка,26.04.2021,4,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка резинок,26.04.2021,4,250,0,,500,500
Товар,,Доход,Безнал,Продажа шампуня,26.04.2021,4,250,0,,500,500
Товар,,Доход,Наличные,Продажа геля,26.04.2021,4,150,0,,300,300
Товар,,Расход,Безнал,Закупка резинок,27.04.2021,4,250,0,,500,500
Услуга,,Доход,Безнал,Стрижка и укладка,27.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,27.04.2021,4,0,0,,4500,4500
Товар,,Доход,Безнал,Продажа шампуня,27.04.2021,4,250,0,,500,500
Услуга,,Доход,Наличные,Стрижка старшего мастера,27.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,27.04.2021,4,0,0,,4500,4500
Товар,,Расход,Безнал,Закупка резинок,27.04.2021,4,250,0,,500,500
Товар,,Доход,Наличные,Продажа геля,27.04.2021,4,150,0,,300,300
Услуга,42gbcz3020020,Доход,Безнал,Стрижка старшего мастера,27.04.2021,4,0,825,"0,15",5500,4675
Товар,,Расход,Безнал,Закупка резинок,27.04.2021,4,250,0,,500,500
Товар,,Расход,Безнал,Закупка полотенец,27.04.2021,4,500,,,1000,1000
Услуга,,Доход,Безнал,Стрижка старшего мастера,27.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Наличные,Стрижка старшего мастера,27.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,27.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,27.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,27.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,27.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,27.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,27.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,27.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Наличные,Стрижка старшего мастера,27.04.2021,4,0,0,,5500,5500
Услуга,42gbcz2683934,Доход,Безнал,Стрижка и укладка,27.04.2021,4,0,675,"0,15",4500,3825
Услуга,,Доход,Безнал,Стрижка старшего мастера,27.04.2021,4,0,0,,5500,5500
Услуга,,Расход,Безнал,Рекламный бюджет,27.04.2021,4,0,0,,50000,50000
Услуга,,Доход,Безнал,Стрижка и укладка,27.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,27.04.2021,4,0,0,,3500,3500
Услуга,42gbcz2621644,Доход,Наличные,Стрижка старшего мастера,28.04.2021,4,0,825,"0,15",5500,4675
Услуга,,Доход,Безнал,Обычная стрижка,28.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,28.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,28.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,28.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,28.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Наличные,Стрижка и укладка,28.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка и укладка,28.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,28.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,28.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Наличные,Обычная стрижка,28.04.2021,4,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка полотенец,28.04.2021,4,500,,,1000,1000
Товар,,Расход,Безнал,Закупка полотенец,28.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Обычная стрижка,28.04.2021,4,0,0,,3500,3500
Услуга,42gbcz911625,Доход,Наличные,Стрижка старшего мастера,28.04.2021,4,0,825,"0,15",5500,4675
Услуга,42gbcz1021196,Доход,Безнал,Обычная стрижка,28.04.2021,4,0,350,"0,1",3500,3150
Услуга,,Доход,Безнал,Стрижка старшего мастера,28.04.2021,4,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,28.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Наличные,Обычная стрижка,28.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,28.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,28.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,28.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,28.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,28.04.2021,4,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка полотенец,28.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка старшего мастера,28.04.2021,4,0,0,,5500,5500
Услуга,42gbcz108947,Доход,Безнал,Стрижка и укладка,29.04.2021,4,0,2250,"0,5",4500,2250
Услуга,,Доход,Безнал,Стрижка и укладка,29.04.2021,4,0,0,,4500,4500
Услуга,42gbcz676166,Доход,Безнал,Стрижка и укладка,29.04.2021,4,0,675,"0,15",4500,3825
Услуга,,Доход,Безнал,Стрижка и укладка,29.04.2021,4,0,0,,4500,4500
Товар,,Расход,Безнал,Закупка полотенец,29.04.2021,4,500,0,,1000,1000
Услуга,42gbcz1735887,Доход,Безнал,Стрижка и укладка,29.04.2021,4,0,675,"0,15",4500,3825
Товар,,Доход,Безнал,Продажа шампуня,29.04.2021,4,250,0,,500,500
Услуга,,Доход,Наличные,Стрижка и укладка,29.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,29.04.2021,4,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,29.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Обычная стрижка,29.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,29.04.2021,4,0,0,,4500,4500
Товар,,Расход,Безнал,Прочие расходы,29.04.2021,4,150,,,300,300
Услуга,,Доход,Безнал,Стрижка старшего мастера,29.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,29.04.2021,4,0,0,,4500,4500
Товар,,Расход,Безнал,Закупка полотенец,29.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка старшего мастера,29.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Наличные,Стрижка и укладка,29.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,29.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,29.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка старшего мастера,29.04.2021,4,0,0,,5500,5500
Услуга,42gbcz2461835,Доход,Наличные,Обычная стрижка,29.04.2021,4,0,525,"0,15",3500,2975
Услуга,,Доход,Безнал,Стрижка старшего мастера,29.04.2021,4,0,0,,5500,5500
Товар,,Доход,Наличные,Продажа шампуня и кондиционера,29.04.2021,4,500,0,,1000,1000
Товар,,Расход,Безнал,Закупка резинок,29.04.2021,4,250,0,,500,500
Товар,,Расход,Безнал,Прочие расходы,29.04.2021,4,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка старшего мастера,30.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,30.04.2021,4,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,30.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка старшего мастера,30.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,30.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,30.04.2021,4,0,0,,5500,5500
Товар,42gbcz1256997,Доход,Безнал,Продажа геля,30.04.2021,4,150,45,"0,15",300,255
Услуга,42gbcz1476043,Доход,Безнал,Обычная стрижка,30.04.2021,4,0,525,"0,15",3500,2975
Услуга,42gbcz3134310,Доход,Безнал,Стрижка и укладка,30.04.2021,4,0,2250,"0,5",4500,2250
Услуга,,Доход,Безнал,Обычная стрижка,30.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Наличные,Стрижка старшего мастера,30.04.2021,4,0,0,,5500,5500
Товар,,Расход,Безнал,Прочие расходы,30.04.2021,4,150,0,,300,300
Услуга,42gbcz1500454,Доход,Наличные,Стрижка старшего мастера,30.04.2021,4,0,825,"0,15",5500,4675
Услуга,,Доход,Наличные,Обычная стрижка,30.04.2021,4,0,0,,3500,3500
Товар,42gbcz1953119,Доход,Наличные,Продажа шампуня и кондиционера,30.04.2021,4,500,150,"0,15",1000,850
Услуга,,Доход,Безнал,Стрижка старшего мастера,30.04.2021,4,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,30.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка и укладка,30.04.2021,4,0,0,,4500,4500
Товар,,Расход,Безнал,Закупка резинок,30.04.2021,4,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,30.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,30.04.2021,4,0,0,,4500,4500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,30.04.2021,4,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка и укладка,30.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,30.04.2021,4,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,30.04.2021,4,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.03.2021,3,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,01.03.2021,3,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,01.03.2021,3,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка полотенец,01.03.2021,3,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.03.2021,3,0,0,,5500,5500
Услуга,42gbcz108947,Доход,Безнал,Стрижка и укладка,01.03.2021,3,0,2250,"0,5",4500,2250
Услуга,,Доход,Безнал,Стрижка и укладка,01.03.2021,3,0,0,,4500,4500
Услуга,42gbcz676166,Доход,Безнал,Стрижка и укладка,01.03.2021,3,0,675,"0,15",4500,3825
Услуга,,Доход,Безнал,Стрижка и укладка,01.03.2021,3,0,0,,4500,4500
Товар,,Расход,Безнал,Закупка полотенец,01.03.2021,3,500,0,,1000,1000
Услуга,42gbcz1735887,Доход,Безнал,Стрижка и укладка,01.03.2021,3,0,675,"0,15",4500,3825
Товар,,Доход,Безнал,Продажа шампуня,01.03.2021,3,250,0,,500,500
Услуга,,Доход,Наличные,Стрижка и укладка,01.03.2021,3,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.03.2021,3,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,01.03.2021,3,500,0,,1000,1000
Услуга,,Доход,Безнал,Обычная стрижка,01.03.2021,3,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,01.03.2021,3,0,0,,4500,4500
Товар,,Расход,Безнал,Прочие расходы,01.03.2021,3,150,,,300,300
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.03.2021,3,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,01.03.2021,3,0,0,,4500,4500
Товар,,Расход,Безнал,Закупка полотенец,01.03.2021,3,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.03.2021,3,0,0,,5500,5500
Услуга,,Доход,Наличные,Стрижка и укладка,01.03.2021,3,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,01.03.2021,3,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,01.03.2021,3,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка старшего мастера,01.03.2021,3,0,0,,5500,5500
Услуга,42gbcz2461835,Доход,Наличные,Обычная стрижка,01.03.2021,3,0,525,"0,15",3500,2975
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.03.2021,3,0,0,,5500,5500
Товар,,Доход,Наличные,Продажа шампуня и кондиционера,01.03.2021,3,500,0,,1000,1000
Товар,,Расход,Безнал,Закупка резинок,01.03.2021,3,250,0,,500,500
Товар,,Расход,Безнал,Прочие расходы,02.03.2021,3,150,0,,300,300
Услуга,,Доход,Безнал,Стрижка старшего мастера,02.03.2021,3,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,02.03.2021,3,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,02.03.2021,3,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка старшего мастера,02.03.2021,3,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,02.03.2021,3,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,02.03.2021,3,0,0,,5500,5500
Товар,42gbcz1256997,Доход,Безнал,Продажа геля,02.03.2021,3,150,45,"0,15",300,255
Услуга,42gbcz1476043,Доход,Безнал,Обычная стрижка,02.03.2021,3,0,525,"0,15",3500,2975
Услуга,42gbcz3134310,Доход,Безнал,Стрижка и укладка,02.03.2021,3,0,2250,"0,5",4500,2250
Услуга,,Доход,Безнал,Обычная стрижка,02.03.2021,3,0,0,,3500,3500
Услуга,,Доход,Наличные,Стрижка старшего мастера,02.03.2021,3,0,0,,5500,5500
Товар,,Расход,Безнал,Прочие расходы,02.03.2021,3,150,0,,300,300
Услуга,42gbcz1500454,Доход,Наличные,Стрижка старшего мастера,02.03.2021,3,0,825,"0,15",5500,4675
Услуга,,Доход,Наличные,Обычная стрижка,02.03.2021,3,0,0,,3500,3500
Товар,42gbcz1953119,Доход,Наличные,Продажа шампуня и кондиционера,02.03.2021,3,500,150,"0,15",1000,850
Услуга,,Доход,Безнал,Стрижка старшего мастера,02.03.2021,3,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,02.03.2021,3,0,0,,4500,4500
Услуга,,Доход,Наличные,Стрижка и укладка,02.03.2021,3,0,0,,4500,4500
Товар,,Расход,Безнал,Закупка резинок,02.03.2021,3,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,02.03.2021,3,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,02.03.2021,3,0,0,,4500,4500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,02.03.2021,3,500,0,,1000,1000
Услуга,,Доход,Безнал,Стрижка и укладка,02.03.2021,3,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,02.03.2021,3,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,02.03.2021,3,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка полотенец,02.03.2021,3,500,,,1000,1000
Услуга,,Доход,Безнал,Обычная стрижка,02.03.2021,3,0,0,,3500,3500
Услуга,42gbcz3835356,Доход,Безнал,Стрижка и укладка,02.03.2021,3,0,2250,"0,5",4500,2250
Товар,,Расход,Безнал,Прочие расходы,02.03.2021,3,150,0,,300,300
Услуга,,Доход,Безнал,Обычная стрижка,03.03.2021,3,0,0,,3500,3500
Услуга,,Доход,Наличные,Обычная стрижка,03.03.2021,3,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка и укладка,03.03.2021,3,0,0,,4500,4500
Товар,,Расход,Безнал,Закупка полотенец,03.03.2021,3,500,,,1000,1000
Услуга,,Доход,Безнал,Обычная стрижка,03.03.2021,3,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,03.03.2021,3,0,0,,3500,3500
Услуга,,Доход,Наличные,Стрижка старшего мастера,03.03.2021,3,0,0,,5500,5500
Услуга,42gbcz3433865,Доход,Наличные,Стрижка старшего мастера,03.03.2021,3,0,825,"0,15",5500,4675
Товар,42gbcz3625214,Доход,Безнал,Продажа геля,03.03.2021,3,150,45,"0,15",300,255
Услуга,,Доход,Безнал,Обычная стрижка,03.03.2021,3,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,03.03.2021,3,500,0,,1000,1000
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,03.03.2021,3,500,0,,1000,1000
Услуга,,Расход,Безнал,Аренда,03.03.2021,3,0,0,0,70000,70000
Услуга,,Расход,Безнал,Коммунальные услуги,03.03.2021,3,0,0,0,7000,7000
Услуга,,Доход,Безнал,Стрижка старшего мастера,03.03.2021,3,0,0,,5500,5500
Услуга,42gbcz2949901,Доход,Безнал,Стрижка и укладка,03.03.2021,3,0,675,"0,15",4500,3825
